Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
0.625333,-0.040528,-0.778292,0.03971,-0.681688,0.086699,0.724263,0.056814
0.62617,-0.040863,-0.777596,0.039809,-0.681966,0.086583,0.724005,0.056943
0.626901,-0.04107,-0.776998,0.039777,-0.682147,0.086547,0.723825,0.057125
0.627456,-0.041178,-0.77656,0.039475,-0.682259,0.086456,0.723714,0.057318
0.627815,-0.041257,-0.776294,0.038924,-0.682354,0.086097,0.723667,0.05732
0.628035,-0.041299,-0.776144,0.038287,-0.682432,0.085319,0.723712,0.056981
0.628166,-0.041239,-0.776068,0.037762,-0.682484,0.084305,0.723817,0.056537
0.628193,-0.041051,-0.776068,0.037506,-0.682525,0.083372,0.723903,0.056329
0.628096,-0.040801,-0.776157,0.037558,-0.682497,0.082817,0.723985,0.056435
0.627851,-0.040584,-0.776355,0.037802,-0.682132,0.083575,0.724191,0.057081
0.627406,-0.040428,-0.77671,0.038065,-0.681174,0.086605,0.724614,0.05861
0.626716,-0.040304,-0.777263,0.038271,-0.679956,0.090437,0.725136,0.060497
0.625845,-0.040171,-0.777963,0.038451,-0.679109,0.092425,0.725573,0.061751
0.624976,-0.039989,-0.77866,0.038646,-0.678712,0.092402,0.725902,0.06228
0.624276,-0.03974,-0.779224,0.038857,-0.678462,0.091783,0.726189,0.062567
0.623777,-0.039464,-0.779626,0.03908,-0.678192,0.091305,0.726478,0.062838
0.623433,-0.039227,-0.779902,0.03931,-0.677875,0.090993,0.726791,0.063089
0.623168,-0.039059,-0.780111,0.039534,-0.677537,0.09075,0.727117,0.063314
0.622893,-0.038978,-0.780322,0.039777,-0.677217,0.090518,0.727427,0.063514
0.622573,-0.039009,-0.78056,0.040082,-0.676935,0.090232,0.727709,0.063685
0.622228,-0.039124,-0.780812,0.040422,-0.676692,0.089867,0.727967,0.06384
0.621856,-0.039252,-0.781085,0.040736,-0.676471,0.089522,0.728201,0.064007
0.621438,-0.039348,-0.7814,0.040987,-0.676262,0.089317,0.728403,0.064205
0.620986,-0.03938,-0.78175,0.041134,-0.676086,0.089216,0.72856,0.064409
0.620565,-0.039327,-0.782086,0.04116,-0.675961,0.089084,0.728675,0.064605
0.620272,-0.039185,-0.782328,0.041105,-0.675879,0.088901,0.728755,0.064814
0.620171,-0.03898,-0.782421,0.041058,-0.675827,0.08877,0.7288,0.065022
0.620261,-0.038764,-0.782359,0.041082,-0.6758,0.088773,0.728807,0.065217
0.620506,-0.038569,-0.782171,0.041159,-0.675812,0.088903,0.728759,0.065454
0.620812,-0.038426,-0.78193,0.041244,-0.67588,0.08909,0.728645,0.065771
0.621042,-0.038364,-0.781747,0.0413,-0.675971,0.089264,0.728507,0.066126
0.621113,-0.038385,-0.781691,0.041295,-0.676015,0.089407,0.728419,0.066453
0.621015,-0.038461,-0.781768,0.041225,-0.675961,0.089575,0.728423,0.066725
0.620777,-0.038555,-0.78196,0.041088,-0.675824,0.089844,0.728495,0.066966
0.620435,-0.038662,-0.782236,0.040889,-0.675656,0.090215,0.728581,0.06723
0.620054,-0.038783,-0.782544,0.040661,-0.675496,0.090607,0.728649,0.067568
0.619727,-0.038891,-0.78281,0.040435,-0.675354,0.090942,0.7287,0.067998
0.619506,-0.038957,-0.782992,0.040228,-0.675218,0.091187,0.72875,0.068474
0.619396,-0.038975,-0.783087,0.040046,-0.675093,0.09133,0.728808,0.068901
0.619372,-0.038953,-0.783116,0.03988,-0.674979,0.091396,0.728878,0.069192
0.619354,-0.038921,-0.78314,0.039716,-0.674852,0.091442,0.728975,0.069343
0.619245,-0.03891,-0.783237,0.039525,-0.674712,0.091479,0.729092,0.069429
0.61899,-0.038936,-0.783448,0.039292,-0.674586,0.091442,0.729202,0.069542
0.618585,-0.038983,-0.783778,0.039041,-0.674489,0.091279,0.729296,0.06972
0.618086,-0.038988,-0.784183,0.038818,-0.674396,0.091033,0.729395,0.069904
0.617594,-0.038904,-0.784581,0.038677,-0.674281,0.090798,0.729519,0.07002
0.617181,-0.038764,-0.784915,0.038649,-0.674185,0.090615,0.729627,0.070057
0.61685,-0.03864,-0.785178,0.038714,-0.67419,0.090483,0.729639,0.070055
0.616578,-0.038562,-0.78539,0.038811,-0.674286,0.090373,0.729564,0.070055
0.616356,-0.038515,-0.785563,0.038877,-0.674322,0.09024,0.729544,0.070082
0.616206,-0.038475,-0.785683,0.038881,-0.674227,0.090112,0.729643,0.070136
0.616153,-0.038437,-0.785728,0.038853,-0.674077,0.09002,0.729784,0.070223
0.616188,-0.038385,-0.785703,0.038862,-0.673919,0.089934,0.729927,0.070363
0.616258,-0.038314,-0.785647,0.038956,-0.673757,0.089841,0.730071,0.070544
0.616311,-0.038246,-0.7856,0.039128,-0.673623,0.08977,0.730187,0.070712
0.616329,-0.038189,-0.785579,0.039317,-0.673545,0.089749,0.730249,0.07084
0.616326,-0.038151,-0.785577,0.039435,-0.6735,0.089787,0.730276,0.070946
0.616349,-0.03815,-0.785561,0.039398,-0.673462,0.089876,0.730288,0.07106
0.616455,-0.038185,-0.785485,0.039221,-0.673437,0.090008,0.730283,0.071194
0.616668,-0.038237,-0.785325,0.039035,-0.673438,0.090172,0.730248,0.071331
