Sample #,Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
0,0.775675,-0.011496,-0.631028,0.000581,-0.721888,0.111674,0.680593,0.056566
1,0.777035,-0.011398,-0.629352,0.001729,-0.722051,0.111305,0.680487,0.056488
2,0.778165,-0.011091,-0.627956,0.002798,-0.722631,0.110854,0.679969,0.056199
3,0.779025,-0.010703,-0.626891,0.003636,-0.723204,0.110295,0.679465,0.056019
4,0.7797,-0.010336,-0.626053,0.0043,-0.723673,0.109193,0.679146,0.055987
5,0.780252,-0.009991,-0.625367,0.00487,-0.723807,0.107488,0.679256,0.056231
6,0.780674,-0.009605,-0.624842,0.005349,-0.723366,0.106006,0.679906,0.05686
7,0.78097,-0.009149,-0.624475,0.005713,-0.722833,0.105413,0.680518,0.05741
8,0.781152,-0.008676,-0.624252,0.005998,-0.722973,0.105212,0.680409,0.05731
9,0.781158,-0.008253,-0.624247,0.006245,-0.723941,0.104928,0.679497,0.05642
10,0.780907,-0.007842,-0.624566,0.006387,-0.725146,0.10493,0.678325,0.055029
11,0.780452,-0.007346,-0.625141,0.006335,-0.725857,0.105236,0.677622,0.053707
12,0.779963,-0.006871,-0.625757,0.006221,-0.725768,0.105155,0.67779,0.052954
13,0.779511,-0.006689,-0.626322,0.006296,-0.725048,0.104512,0.678671,0.052799
14,0.779005,-0.00692,-0.626945,0.006554,-0.724197,0.103963,0.679664,0.052803
15,0.778388,-0.007614,-0.627701,0.006767,-0.723484,0.103775,0.680452,0.05278
16,0.777774,-0.008921,-0.628443,0.006934,-0.72289,0.103562,0.681111,0.052851
17,0.777403,-0.010961,-0.628866,0.007229,-0.722572,0.103096,0.681518,0.052865
18,0.77748,-0.01373,-0.628713,0.007526,-0.722652,0.102459,0.681549,0.052612
19,0.777896,-0.017121,-0.628116,0.007434,-0.722808,0.101829,0.6815,0.052313
20,0.778268,-0.020983,-0.627548,0.006568,-0.722723,0.101313,0.681669,0.0523
21,0.778263,-0.025195,-0.627414,0.004815,-0.722483,0.10089,0.681964,0.052577
22,0.7776,-0.029748,-0.628049,0.002714,-0.722284,0.100539,0.682193,0.053008
23,0.775954,-0.034587,-0.62984,0.000978,-0.722175,0.10029,0.682307,0.053499
24,0.773187,-0.039331,-0.632956,-0.000586,-0.722096,0.100158,0.68237,0.054005
25,0.769312,-0.043719,-0.637371,-0.002612,-0.722006,0.100089,0.682435,0.054519
26,0.764256,-0.047997,-0.643105,-0.005007,-0.721908,0.099961,0.682514,0.055064
27,0.758035,-0.052352,-0.650069,-0.007316,-0.721784,0.099695,0.682638,0.055627
28,0.750785,-0.056565,-0.658055,-0.009242,-0.721586,0.099375,0.682853,0.056118
29,0.742631,-0.060584,-0.666871,-0.010539,-0.721311,0.099199,0.683145,0.056412
30,0.733767,-0.064729,-0.676218,-0.011147,-0.721026,0.099269,0.683435,0.056431
31,0.724478,-0.068874,-0.685756,-0.011266,-0.720643,0.099404,0.683832,0.05627
32,0.714975,-0.07259,-0.695284,-0.011007,-0.719828,0.099206,0.684724,0.056206
33,0.705524,-0.075826,-0.704544,-0.010255,-0.718464,0.098586,0.686233,0.056347
34,0.696447,-0.078513,-0.713243,-0.009051,-0.716942,0.098025,0.687892,0.056467
35,0.687957,-0.080443,-0.721238,-0.007736,-0.715646,0.097905,0.689266,0.056373
36,0.680178,-0.081771,-0.728443,-0.006438,-0.714548,0.098048,0.690404,0.056117
37,0.673186,-0.082808,-0.734805,-0.004977,-0.713463,0.098148,0.691538,0.055788
38,0.666926,-0.083546,-0.740418,-0.00338,-0.712297,0.098097,0.692777,0.055409
39,0.661201,-0.083912,-0.7455,-0.00171,-0.711084,0.097941,0.694073,0.055038
40,0.655886,-0.083993,-0.750172,0.000344,-0.709911,0.097772,0.695319,0.054759
41,0.651035,-0.083956,-0.754384,0.003178,-0.708857,0.097676,0.696424,0.054551
42,0.646657,-0.083874,-0.758126,0.006695,-0.707984,0.097727,0.69732,0.054343
43,0.64259,-0.083519,-0.761574,0.010391,-0.707255,0.097811,0.698062,0.054161
44,0.638672,-0.082783,-0.764884,0.014065,-0.706389,0.097484,0.69898,0.054201
45,0.634897,-0.082064,-0.768016,0.017963,-0.705048,0.096233,0.700468,0.054688
46,0.631305,-0.081712,-0.770899,0.022188,-0.703445,0.094331,0.702282,0.055383
47,0.627868,-0.081674,-0.773567,0.02655,-0.702264,0.092765,0.703649,0.055666
48,0.624571,-0.081708,-0.776067,0.030903,-0.701718,0.091889,0.704331,0.055366
49,0.621421,-0.081634,-0.778415,0.035247,-0.70149,0.091339,0.704678,0.054754
50,0.618458,-0.081498,-0.780573,0.039664,-0.701189,0.090879,0.705086,0.054114
51,0.615916,-0.081322,-0.782354,0.04424,-0.700519,0.090584,0.705825,0.053643
52,0.613967,-0.080997,-0.783636,0.048969,-0.699627,0.090626,0.706733,0.05326
53,0.612453,-0.080628,-0.784548,0.053715,-0.699209,0.090867,0.707168,0.052557
54,0.61124,-0.08041,-0.785188,0.058303,-0.69952,0.090873,0.706945,0.05141
